name,description,price,quantity_available,leftside_img,rightside_img,front_img,back_img,category
AKM,"The AKM is a 7.62mm assault rifle originating from Russia. It is widely used by military forces around the world for its reliability in harsh conditions.",500.00,10,/images/products/akm_left.jpg,/images/products/akm_right.jpg,/images/products/akm_front.jpg,/images/products/akm_back.jpg,Assault Rifles
M416,"The M416 is a 5.56mm assault rifle developed by Heckler & Koch in Germany. It is known for its modular design and is used by various special forces.",600.00,8,/images/products/m416_left.jpg,/images/products/m416_right.jpg,/images/products/m416_front.jpg,/images/products/m416_back.jpg,Assault Rifles
Kar98k,"The Kar98k is a German bolt-action sniper rifle that was widely used during World War II. It remains popular with marksmen for its precision.",800.00,5,/images/products/kar98k_left.jpg,/images/products/kar98k_right.jpg,/images/products/kar98k_front.jpg,/images/products/kar98k_back.jpg,Sniper Rifles
AWM,"The AWM (Arctic Warfare Magnum) is a British bolt-action sniper rifle known for its high accuracy and range. It is used by military and police snipers.",1200.00,3,/images/products/awm_left.jpg,/images/products/awm_right.jpg,/images/products/awm_front.jpg,/images/products/awm_back.jpg,Sniper Rifles
Uzi,"The Uzi is an Israeli 9mm submachine gun known for its compact size and high rate of fire. It is used by security forces and military units.",300.00,15,/images/products/uzi_left.jpg,/images/products/uzi_right.jpg,/images/products/uzi_front.jpg,/images/products/uzi_back.jpg,SMG
UMP45,"The UMP45 is a submachine gun developed by Heckler & Koch in Germany. Chambered in .45 ACP, it is used by law enforcement and military forces for close quarters combat.",400.00,12,/images/products/ump45_left.jpg,/images/products/ump45_right.jpg,/images/products/ump45_front.jpg,/images/products/ump45_back.jpg,SMG
S686,"The S686 is an Italian over-under double-barreled shotgun known for its reliability and precision. It is popular among sport shooters and hunters.",350.00,7,/images/products/s686_left.jpg,/images/products/s686_right.jpg,/images/products/s686_front.jpg,/images/products/s686_back.jpg,Shotguns
SKS,"The SKS is a Soviet semi-automatic carbine chambered in 7.62x39mm. It was widely used by Eastern Bloc countries during the Cold War and remains popular among collectors.",700.00,6,/images/products/sks_left.jpg,/images/products/sks_right.jpg,/images/products/sks_front.jpg,/images/products/sks_back.jpg,Rifles
QBZ,"The QBZ-95 is a Chinese bullpup-style assault rifle chambered in 5.8x42mm. It is the standard issue rifle for the People's Liberation Army.",550.00,9,/images/products/qbz_left.jpg,/images/products/qbz_right.jpg,/images/products/qbz_front.jpg,/images/products/qbz_back.jpg,Assault Rifles
DP-28,"The DP-28 is a Soviet light machine gun chambered in 7.62x54mmR. Known for its distinctive pan magazine, it was widely used during World War II and beyond.",650.00,4,/images/products/dp28_left.jpg,/images/products/dp28_right.jpg,/images/products/dp28_front.jpg,/images/products/dp28_back.jpg,Machine Guns
Desert Eagle,"The Desert Eagle is a powerful semi-automatic pistol known for its high caliber rounds. It is used by military forces and in competitive shooting.",1500.00,5,/images/products/desert_eagle_left.jpg,/images/products/desert_eagle_right.jpg,/images/products/desert_eagle_front.jpg,/images/products/desert_eagle_back.jpg,Pistols
DBS,"The DBS is a double-barreled pump-action bullpup shotgun. It is known for its high damage output and is popular among close-quarters combat units.",800.00,3,/images/products/dbs_left.jpg,/images/products/dbs_right.jpg,/images/products/dbs_front.jpg,/images/products/dbs_back.jpg,Shotguns
Glock 17,"The Glock 17 is a 9mm semi-automatic pistol used by military and law enforcement agencies worldwide for its reliability and ease of use.",500.00,20,/images/products/glock17_left.jpg,/images/products/glock17_right.jpg,/images/products/glock17_front.jpg,/images/products/glock17_back.jpg,Pistols
Colt Python,"The Colt Python is a .357 Magnum caliber revolver. It is known for its accuracy and smooth trigger pull, making it a favorite among revolver enthusiasts.",1200.00,7,/images/products/colt_python_left.jpg,/images/products/colt_python_right.jpg,/images/products/colt_python_front.jpg,/images/products/colt_python_back.jpg,Revolvers
Winchester Model 70,"The Winchester Model 70 is a bolt-action rifle known for its accuracy and is often used in hunting and sporting competitions.",900.00,6,/images/products/winchester70_left.jpg,/images/products/winchester70_right.jpg,/images/products/winchester70_front.jpg,/images/products/winchester70_back.jpg,Rifles
Benelli M4,"The Benelli M4 is a semi-automatic shotgun known for its reliability and performance in tactical situations. It is used by military and law enforcement.",1800.00,4,/images/products/benelli_m4_left.jpg,/images/products/benelli_m4_right.jpg,/images/products/benelli_m4_front.jpg,/images/products/benelli_m4_back.jpg,Shotguns
Remington 870,"The Remington 870 is a pump-action shotgun popular among hunters, sport shooters, and law enforcement for its versatility and durability.",450.00,10,/images/products/remington870_left.jpg,/images/products/remington870_right.jpg,/images/products/remington870_front.jpg,/images/products/remington870_back.jpg,Shotguns
FN SCAR,"The FN SCAR is a modular assault rifle used by military forces for its adaptability and performance in various combat scenarios.",2300.00,5,/images/products/fn_scar_left.jpg,/images/products/fn_scar_right.jpg,/images/products/fn_scar_front.jpg,/images/products/fn_scar_back.jpg,Assault Rifles
Barrett M82,"The Barrett M82 is a recoil-operated, semi-automatic anti-materiel rifle. It is used for long-range targeting and can penetrate hard targets.",5000.00,2,/images/products/barrett_m82_left.jpg,/images/products/barrett_m82_right.jpg,/images/products/barrett_m82_front.jpg,/images/products/barrett_m82_back.jpg,Sniper Rifles
MP5,"The MP5 is a 9mm submachine gun developed by Heckler & Koch. It is used by special forces and law enforcement units for its compact size and accuracy.",700.00,12,/images/products/mp5_left.jpg,/images/products/mp5_right.jpg,/images/products/mp5_front.jpg,/images/products/mp5_back.jpg,SMG
Colt M1911,"The Colt M1911 is a single-action, semi-automatic pistol. It was the standard-issue sidearm for the U.S. Armed Forces for many years.",900.00,10,/images/products/colt_m1911_left.jpg,/images/products/colt_m1911_right.jpg,/images/products/colt_m1911_front.jpg,/images/products/colt_m1911_back.jpg,Pistols
M24,"The M24 is a military and police sniper rifle used for its high accuracy and reliability. It is based on the Remington 700 platform.",2000.00,4,/images/products/m24_left.jpg,/images/products/m24_right.jpg,/images/products/m24_front.jpg,/images/products/m24_back.jpg,Sniper Rifles
